asset_id,description,branch,year,in_service_date
A-0300,Service van,TOL,2024,2019-12-11
A-0301,Crane truck,TOL,2015,2013-08-04
A-0302,Trailer,ERI,2017,2018-01-07
A-0303,Box truck,ERI,2023,2020-04-15
A-0304,Box truck,TOL,2025,2013-07-07
A-0305,Service van,FTW,2013,2016-02-02
A-0306,Trailer,FTW,2014,2013-07-20
A-0307,Crane truck,FTW,2023,2024-03-13
A-0308,Crane truck,FTW,2019,2018-08-13
A-0309,Box truck,FTW,2024,2017-10-24
A-0310,Service van,ERI,2014,2020-12-15
A-0311,Service van,TOL,2015,2016-04-03
A-0312,Trailer,TOL,2015,2014-09-14
A-0313,Box truck,ERI,2022,2016-10-07
A-0314,Box truck,TOL,2018,2024-08-24
A-0315,Trailer,FTW,2013,2023-09-13
A-0316,Service van,TOL,2013,2019-11-07
A-0317,Box truck,ERI,2015,2016-05-02
A-0318,Trailer,ERI,2019,2017-06-04
A-0319,Box truck,TOL,2024,2018-01-23
A-0320,Service van,ERI,2020,2014-08-15
A-0321,Crane truck,TOL,2023,2017-03-31
A-0322,Service van,FTW,2013,2013-04-02
A-0323,Box truck,TOL,2022,2020-12-29
A-0324,Trailer,TOL,2024,2017-02-25
A-0325,Service van,TOL,2023,2017-04-12
A-0326,Service van,TOL,2018,2013-06-18
A-0327,Trailer,TOL,2020,2015-12-31
A-0328,Crane truck,FTW,2018,2017-10-18
A-0329,Service van,ERI,2022,2020-07-16
A-0330,Crane truck,FTW,2014,2016-04-07
A-0331,Trailer,TOL,2021,2022-06-27
A-0332,Trailer,FTW,2015,2013-06-25
A-0333,Crane truck,TOL,2024,2019-01-12
A-0334,Trailer,ERI,2015,2022-02-10
A-0335,Trailer,ERI,2013,2019-09-26
A-0336,Crane truck,FTW,2023,2022-02-14
A-0337,Box truck,FTW,2016,2023-03-07
