customer_id,customer_name,status,under_contract,branch
000418,Lakeside Steel Processing Co.,Active,Yes,TOL
000742,Consolidated Foundry Group,Active,Yes,TOL
000119,Bayfield Paper Mills,Active,Yes,TOL
000905,Northgate Plastics,Active,Yes,TOL
001233,Erie Valley Grain,Active,No,FTW
000377,Maumee Chemical,Active,Yes,FTW
000550,Sandusky Marine Works,Active,Yes,FTW
000861,Fort Wayne Castings,Active,Yes,FTW
001400,Customer 009 Industrial,Active,No,FTW
001407,Customer 010 Industrial,Active,No,TOL
001414,Customer 011 Industrial,Active,No,FTW
001421,Customer 012 Industrial,Active,No,FTW
001428,Customer 013 Industrial,Active,No,ERI
001435,Customer 014 Industrial,Active,No,FTW
001442,Customer 015 Industrial,Active,No,ERI
001449,Customer 016 Industrial,Active,No,FTW
001456,Customer 017 Industrial,Active,No,ERI
001463,Customer 018 Industrial,Active,No,TOL
001470,Customer 019 Industrial,Active,No,TOL
001477,Customer 020 Industrial,Active,No,TOL
001484,Customer 021 Industrial,Active,No,ERI
001491,Customer 022 Industrial,Active,No,FTW
001498,Customer 023 Industrial,Active,No,ERI
001505,Customer 024 Industrial,Active,No,FTW
001512,Customer 025 Industrial,Active,No,ERI
001519,Customer 026 Industrial,Active,No,ERI
001526,Customer 027 Industrial,Active,No,TOL
001533,Customer 028 Industrial,Active,No,FTW
001540,Customer 029 Industrial,Active,No,FTW
001547,Customer 030 Industrial,Active,No,TOL
001554,Customer 031 Industrial,Active,No,FTW
001561,Customer 032 Industrial,Active,No,FTW
001568,Customer 033 Industrial,Active,No,TOL
001575,Customer 034 Industrial,Active,No,ERI
001582,Customer 035 Industrial,Active,No,TOL
001589,Customer 036 Industrial,Active,No,TOL
001596,Customer 037 Industrial,Active,No,FTW
001603,Customer 038 Industrial,Active,No,TOL
001610,Customer 039 Industrial,Active,No,ERI
001617,Customer 040 Industrial,Active,No,FTW
001624,Customer 041 Industrial,Active,No,TOL
001631,Customer 042 Industrial,Active,No,FTW
001638,Customer 043 Industrial,Active,No,TOL
001645,Customer 044 Industrial,Active,No,ERI
001652,Customer 045 Industrial,Active,No,FTW
001659,Customer 046 Industrial,Active,No,ERI
001666,Customer 047 Industrial,Active,No,FTW
001673,Customer 048 Industrial,Active,No,FTW
001680,Customer 049 Industrial,Active,No,TOL
001687,Customer 050 Industrial,Active,No,FTW
001694,Customer 051 Industrial,Active,No,TOL
001701,Customer 052 Industrial,Active,No,ERI
001708,Customer 053 Industrial,Active,No,ERI
001715,Customer 054 Industrial,Active,No,ERI
001722,Customer 055 Industrial,Active,No,TOL
001729,Customer 056 Industrial,Active,No,FTW
001736,Customer 057 Industrial,Active,No,FTW
001743,Customer 058 Industrial,Active,No,FTW
001750,Customer 059 Industrial,Active,No,FTW
001757,Customer 060 Industrial,Active,No,FTW
001764,Customer 061 Industrial,Active,No,ERI
001771,Customer 062 Industrial,Active,No,TOL
001778,Customer 063 Industrial,Active,No,FTW
001785,Customer 064 Industrial,Active,No,FTW
001792,Customer 065 Industrial,Active,No,FTW
001799,Customer 066 Industrial,Active,No,ERI
001806,Customer 067 Industrial,Active,No,FTW
001813,Customer 068 Industrial,Active,No,TOL
001820,Customer 069 Industrial,Active,No,ERI
001827,Customer 070 Industrial,Active,No,FTW
001834,Customer 071 Industrial,Active,No,TOL
001841,Customer 072 Industrial,Active,No,TOL
001848,Customer 073 Industrial,Active,No,FTW
001855,Customer 074 Industrial,Active,No,FTW
001862,Customer 075 Industrial,Active,No,FTW
001869,Customer 076 Industrial,Active,No,TOL
001876,Customer 077 Industrial,Active,No,ERI
001883,Customer 078 Industrial,Active,No,ERI
001890,Customer 079 Industrial,Active,No,FTW
001897,Customer 080 Industrial,Active,No,FTW
001904,Customer 081 Industrial,Active,No,FTW
001911,Customer 082 Industrial,Active,No,FTW
001918,Customer 083 Industrial,Active,No,ERI
001925,Customer 084 Industrial,Active,No,FTW
001932,Customer 085 Industrial,Active,No,ERI
001939,Customer 086 Industrial,Active,No,ERI
001946,Customer 087 Industrial,Active,No,TOL
001953,Customer 088 Industrial,Active,No,ERI
001960,Customer 089 Industrial,Active,No,FTW
001967,Customer 090 Industrial,Active,No,FTW
001974,Customer 091 Industrial,Active,No,FTW
001981,Customer 092 Industrial,Active,No,FTW
001988,Customer 093 Industrial,Active,No,TOL
001995,Customer 094 Industrial,Active,No,TOL
002002,Customer 095 Industrial,Active,No,ERI
002009,Customer 096 Industrial,Active,No,FTW
002016,Customer 097 Industrial,Active,No,FTW
002023,Customer 098 Industrial,Active,No,ERI
002030,Customer 099 Industrial,Active,No,ERI
002037,Customer 100 Industrial,Active,No,ERI
002044,Customer 101 Industrial,Active,No,ERI
002051,Customer 102 Industrial,Active,No,FTW
002058,Customer 103 Industrial,Active,No,ERI
002065,Customer 104 Industrial,Active,No,TOL
002072,Customer 105 Industrial,Active,No,ERI
002079,Customer 106 Industrial,Active,No,ERI
002086,Customer 107 Industrial,Active,No,FTW
002093,Customer 108 Industrial,Active,No,FTW
002100,Customer 109 Industrial,Active,No,TOL
002107,Customer 110 Industrial,Active,No,FTW
002114,Customer 111 Industrial,Active,No,TOL
002121,Customer 112 Industrial,Active,No,TOL
002128,Customer 113 Industrial,Active,No,ERI
002135,Customer 114 Industrial,Active,No,FTW
002142,Customer 115 Industrial,Active,No,ERI
002149,Customer 116 Industrial,Active,No,TOL
002156,Customer 117 Industrial,Active,No,FTW
002163,Customer 118 Industrial,Active,No,ERI
002170,Customer 119 Industrial,Active,No,TOL
002177,Customer 120 Industrial,Active,No,FTW
002184,Customer 121 Industrial,Active,No,FTW
002191,Customer 122 Industrial,Active,No,TOL
002198,Customer 123 Industrial,Active,No,TOL
002205,Customer 124 Industrial,Active,No,ERI
002212,Customer 125 Industrial,Active,No,ERI
002219,Customer 126 Industrial,Active,No,ERI
002226,Customer 127 Industrial,Active,No,TOL
002233,Customer 128 Industrial,Active,No,TOL
002240,Customer 129 Industrial,Active,No,ERI
002247,Customer 130 Industrial,Active,No,ERI
002254,Customer 131 Industrial,Active,No,ERI
002261,Customer 132 Industrial,Active,No,ERI
002268,Customer 133 Industrial,Active,No,TOL
002275,Customer 134 Industrial,Active,No,FTW
002282,Customer 135 Industrial,Active,No,ERI
002289,Customer 136 Industrial,Active,No,FTW
002296,Customer 137 Industrial,Active,No,TOL
002303,Customer 138 Industrial,Active,No,TOL
002310,Customer 139 Industrial,Active,No,TOL
002317,Customer 140 Industrial,Active,No,FTW
002324,Customer 141 Industrial,Active,No,FTW
002331,Customer 142 Industrial,Active,No,ERI
000990,Wexford Tube (churned 2025-04),Inactive,No,ERI
