journal_id,account,account_name,branch,period,debit,credit
JE-TOL-4000,4000,Service revenue,TOL,2025-12-31,0,8492880
JE-TOL-5000,5000,Cost of revenue,TOL,2025-12-31,5817622,0
JE-FTW-4000,4000,Service revenue,FTW,2025-12-31,0,4120000
JE-FTW-5000,5000,Cost of revenue,FTW,2025-12-31,2937560,0
JE-ERI-4000,4000,Service revenue,ERI,2025-12-31,0,3800000
JE-ERI-5000,5000,Cost of revenue,ERI,2025-12-31,2603000,0
JE-TOL-6100,6100,Payroll,TOL,2025-11-30,318400,0
JE-TOL-6100,6100,Payroll,TOL,2025-11-30,318400,0
JE-FTW-6100,6100,Payroll,FTW,2025-11-30,141950,0
JE-ERI-6205,6205,Fuel,ERI,2025-10-31,22310,0
JE-ERI-6206,6206,Fuel,ERI,2025-10-31,22310,0
